Σαλαμινίων/ADJ,πολεμιστήρια/ADJ,ἅρματα/NOUN
ὀιστοὺς/NOUN,καλαμίνους/ADJ,ἀπτέρους/ADJ
ἱππαγωγὰ/ADJ,πλοῖα/NOUN,μακρὰ/ADJ
ἄλλη/ADJ,Μηδικὴ/ADJ,χώρη/NOUN
ῥομφαία/NOUN,δίστομος/ADJ,ὀξεῖα/ADJ
ὑποκρητηρίδιον/NOUN,σιδήρεον/ADJ,κολλητόν/ADJ
μόνον/ADJ,ἀληθινὸν/ADJ,θεὸν/NOUN
Ἰουδαῖοι/ADJ,ἄνδρες/NOUN,εὐλαβεῖς/ADJ
ἴδια/ADJ,ἀναθήματα/NOUN,πολλά/ADJ
γυναικὸς/NOUN,Ἰουδαίας/ADJ,πιστῆς/ADJ
ἅμαξαι/NOUN,τετράκυκλοι/ADJ,ἡμιόνεαι/ADJ
μόνῳ/ADJ,σοφῷ/ADJ,θεῷ/NOUN
οἰκίαν/NOUN,ἀχειροποίητον/ADJ,αἰώνιον/ADJ
ἐντολὴν/NOUN,ἄσπιλον/ADJ,ἀνεπίλημπτον/ADJ
λόγον/NOUN,ὑγιῆ/ADJ,ἀκατάγνωστον/ADJ
λογικὸν/ADJ,ἄδολον/ADJ,γάλα/NOUN
δράκων/NOUN,πυρρός/ADJ,μέγας/ADJ
λίνον/NOUN,καθαρὸν/ADJ,λαμπρὸν/ADJ
θρόνον/NOUN,μέγαν/ADJ,λευκὸν/ADJ
φοίνικες/NOUN,καρποφόροι/ADJ,πολλοί/ADJ
πλοῖα/NOUN,μακρὰ/ADJ,πολλά/ADJ
χοροῖσι/NOUN,γυναικηίοισι/ADJ,κερτομίοισι/ADJ
λέοντα/NOUN,καρτερὸν/ADJ,ὠμηστήν/ADJ
πεζὸς/ADJ,στρατὸς/NOUN,πολλός/ADJ
χεύματα/NOUN,ἀργύρεα/ADJ,κυκλοτερέα/ADJ
εἴδωλον/NOUN,χρύσεον/ADJ,τρίπηχυ/ADJ
δεινὸς/ADJ,ὄφις/NOUN,τριέλικτος/ADJ
ἄνδρα/NOUN,Ἀθηναῖον/ADJ,χρησμολόγον/ADJ
κιθῶνας/NOUN,χειριδωτοὺς/ADJ,ποικίλους/ADJ
τόξα/NOUN,ἐπιχώρια/ADJ,καλάμινα/ADJ
καλαμίνους/ADJ,ὀιστοὺς/NOUN,μικρούς/ADJ
εἰκὼ/NOUN,χρυσέην/ADJ,σφυρήλατον/ADJ
κράνεα/NOUN,ἐπιχώρια/ADJ,πλεκτὰ/ADJ
χρόνῳ/NOUN,ὕστερον/ADJ,πολλῷ/ADJ
μέγα/ADJ,ἄστυ/NOUN,ἐρικυδὲς/ADJ
ἄλλα/ADJ,τοιουτότροπα/ADJ,ἔπεα/NOUN
νέας/NOUN,Ἑλληνίδας/ADJ,ὀλίγας/ADJ
ἀσπὶς/NOUN,χρυσέη/ADJ,μεγάλη/ADJ
νάρδου/NOUN,πιστικῆς/ADJ,πολυτελοῦς/ADJ
μέσου/ADJ,ἀνδρὸς/NOUN,Μήδου/ADJ
πολλὰ/ADJ,ἔργα/NOUN,καλὰ/ADJ
νάρδου/NOUN,πιστικῆς/ADJ,πολυτίμου/ADJ
