Уян/ADJ,нугархай/ADJ,шүлэгүүдээрээ/NOUN
түрэл/ADJ,буряад/ADJ,хэлэн/NOUN
дуугай/ADJ,хооһон/ADJ,тала/NOUN
Хүхюу/ADJ,олон/ADJ,шубууд/NOUN
элдэб/ADJ,һонин/ADJ,үйлэ/NOUN
уран/ADJ,һайханиие/ADJ,хүтэлбэрилэгшэ/NOUN
адлихан/ADJ,онсо/ADJ,шэнжэнүүд/NOUN
бэлигтэй/ADJ,мэдээжэ/ADJ,артистнар/NOUN
уран/ADJ,һайханай-графическа/ADJ,отделенидэ/NOUN
уран/ADJ,һайханай/ADJ,кинодо/NOUN
элүүр/ADJ,энхэ/ADJ,бэетэй/NOUN
бата/ADJ,найдамтай/ADJ,юумэн/NOUN
эбтэй/ADJ,эетэй/ADJ,команда/NOUN
Бэлигтэй/ADJ,бэрхэ/ADJ,тренер/NOUN
ерэһэн/ADJ,залуухан/ADJ,багша/NOUN
балшар/ADJ,бага/ADJ,наһандань/NOUN
хара/ADJ,бага/ADJ,наһандаа/NOUN
уран/ADJ,һайханай/ADJ,түбэй/NOUN
гэрэлтэ/ADJ,гоё/ADJ,зал/NOUN
оршоһон/ADJ,буряад/ADJ,нютагууд/NOUN
уран/ADJ,һайханай/ADJ,бүтээлэй/NOUN
