יישום/NOUN,מעשי/ADJ,מידי/ADJ
עובדים/NOUN,שכירים/ADJ,זולים/ADJ
בעיה/NOUN,חברתית/ADJ,מרכזית/ADJ
דוגמות/NOUN,ליברליות/ADJ,עייפות/ADJ
תלות/NOUN,הדדית/ADJ,גלובלית/ADJ
גלים/NOUN,היסטוריים/ADJ,חדשים/ADJ
הבנה/NOUN,טקטית/ADJ,מינימלית/ADJ
ניסיון/NOUN,קרבי/ADJ,משמעותי/ADJ
מעידות/NOUN,מילוליות/ADJ,שערורייתיות/ADJ
דמות/NOUN,מרכזית/ADJ,אחרת/ADJ
דיון/NOUN,משפטי/ADJ,מוקדם/ADJ
הזדהות/NOUN,מעמדית/ADJ,אמיתית/ADJ
דמויות/NOUN,רבות/ADJ,נוספות/ADJ
טיעון/NOUN,פוליטי/ADJ,נבוב/ADJ
מדינות/NOUN,חקלאיות/ADJ,אחרות/ADJ
עולם/NOUN,חדש/ADJ,אידאליסטי/ADJ
רפובליקות/NOUN,סובייטיות/ADJ,שונות/ADJ
אזור/NOUN,כלכלי/ADJ,מיוחד/ADJ
רפובליקה/NOUN,אוטונומית/ADJ,גרמנית/ADJ
מספר/NOUN,ראשוני/ADJ,יחיד/ADJ
מספרים/NOUN,ראשוניים/ADJ,עוקבים/ADJ
חברים/NOUN,מכובדים/ADJ,רבים/ADJ
מבנה/NOUN,נרטיווי/ADJ,מובהק/ADJ
ישות/NOUN,מדינית/ADJ,יהודית/ADJ
פתרונות/NOUN,עיצוביים/ADJ,מפוקפקים/ADJ
מנה/NOUN,רומאית/ADJ,קלאסית/ADJ
פוליטיקאים/NOUN,אמריקאים/ADJ,אחרים/ADJ
מסמך/NOUN,סימפטומטי/ADJ,מאלף/ADJ
אגפים/NOUN,סוציולוגיים/ADJ,שונים/ADJ
פקידים/NOUN,אמריקאים/ADJ,רבים/ADJ
מצוקה/NOUN,חברתית/ADJ,משולבת/ADJ
אפוס/NOUN,לאומי/ADJ,אוסטרלי/ADJ
רומאן/NOUN,גדול/ADJ,אחר/ADJ
כיוון/NOUN,פוליטי/ADJ,מובהק/ADJ
מיבנה/NOUN,אחר/ADJ,סמוך/ADJ
סמלים/NOUN,לאומיים/ADJ,אחרים/ADJ
נטייה/NOUN,ימנית/ADJ,מסוכנת/ADJ
מפעל/NOUN,פרטי/ADJ,ראשון/ADJ
טעות/NOUN,אופטית/ADJ,נפוצה/ADJ
חברות/NOUN,ממשלתיות/ADJ,גדולות/ADJ
חברות/NOUN,ממשלתיות/ADJ,גדולות/ADJ
חילוף/NOUN,מהותי/ADJ,נוסף/ADJ
יוזמה/NOUN,פרטית/ADJ,קלאסית/ADJ
רגש/NOUN,לאומי/ADJ,טבעי/ADJ
הלוואות/NOUN,חיצוניות/ADJ,נוחות/ADJ
מס/NOUN,אחיד/ADJ,גבוה/ADJ
מקורות/NOUN,ישראליים/ADJ,רשמיים/ADJ
הסכם/NOUN,קואליציוני/ADJ,חדש/ADJ
אפשרויות/NOUN,עסקיות/ADJ,נוספות/ADJ
אסון/NOUN,לאומי/ADJ,מחריד/ADJ
תגובות/NOUN,שליליות/ADJ,אחרות/ADJ
שמירה/NOUN,משטרתית/ADJ,כבדה/ADJ
הוראה/NOUN,משפטית/ADJ,מפורשת/ADJ
השפעה/NOUN,מוסרית/ADJ,רבה/ADJ
השפעה/NOUN,פוליטית/ADJ,רבה/ADJ
ביטוי/NOUN,חריף/ADJ,נוסף/ADJ
בעיה/NOUN,תקציבית/ADJ,חמורה/ADJ
סיוע/NOUN,ישיר/ADJ,גדול/ADJ
סידרה/NOUN,בלעדית/ADJ,מפתיעה/ADJ
הצלחה/NOUN,ישראלית/ADJ,צנועה/ADJ
תדמית/NOUN,ציבורית/ADJ,חיובית/ADJ
מאפיין/NOUN,בולט/ADJ,נוסף/ADJ
רווח/NOUN,ריאלי/ADJ,נאה/ADJ
עונג/NOUN,גופני/ADJ,צרוף/ADJ
נשים/NOUN,טורקיות/ADJ,רבות/ADJ
נשים/NOUN,טורקיות/ADJ,רבות/ADJ
נתונים/NOUN,סטטיסטיים/ADJ,מדויקים/ADJ
ספר/NOUN,תיכון/ADJ,אחר/ADJ
חינוך/NOUN,אורתודוקסי/ADJ,קפדני/ADJ
אומה/NOUN,יוגוסלווית/ADJ,מלאכותית/ADJ
חלב/NOUN,כחוש/ADJ,מפוסטר/ADJ
הרפיה/NOUN,רגעית/ADJ,קצרה/ADJ
מושבה/NOUN,יוונית/ADJ,פורחת/ADJ
מבטא/NOUN,אמריקאי/ADJ,נלעג/ADJ
גירעון/NOUN,תקציבי/ADJ,גדול/ADJ
שיטה/NOUN,פרופורציונלית/ADJ,טהורה/ADJ
הפסדים/NOUN,כספיים/ADJ,קשים/ADJ
רכבת/NOUN,חשמלית/ADJ,פנימית/ADJ
יסוד/NOUN,מוסלמי/ADJ,חזק/ADJ
צורות/NOUN,הנדסיות/ADJ,שונות/ADJ
ניהול/NOUN,כספי/ADJ,נבון/ADJ
תקן/NOUN,ישראלי/ADJ,רשמי/ADJ
בירות/NOUN,אירופיות/ADJ,אחרות/ADJ
יוזמות/NOUN,מדיניות/ADJ,חדשות/ADJ
משלחת/NOUN,פרלמנטרית/ADJ,איטלקית/ADJ
משפחות/NOUN,פונדמנטליסטיות/ADJ,רבות/ADJ
קוד/NOUN,דתי/ADJ,שמרני/ADJ
משפחות/NOUN,טורקיות/ADJ,רבות/ADJ
פגם/NOUN,אסתטי/ADJ,מזערי/ADJ
מועצות/NOUN,אזוריות/ADJ,דומות/ADJ
דרך/NOUN,פוליטית/ADJ,נבונה/ADJ
העברה/NOUN,אזרחית/ADJ,מלאה/ADJ
אירועים/NOUN,אלימים/ADJ,רבים/ADJ
גורם/NOUN,צבאי/ADJ,בכיר/ADJ
הסכם/NOUN,פדרטיווי/ADJ,חדש/ADJ
קבוצות/NOUN,לאומיות/ADJ,טטריות/ADJ
זיווגים/NOUN,רומנטים/ADJ,חדשימישנים/ADJ
ערים/NOUN,רבות/ADJ,נוספות/ADJ
פעולות/NOUN,צבאיות/ADJ,יזומות/ADJ
גורם/NOUN,צבאי/ADJ,בכיר/ADJ
צבע/NOUN,רוסי/ADJ,ייחודי/ADJ
מכירות/NOUN,פומביות/ADJ,יפאניות/ADJ
ציורים/NOUN,יפאניים/ADJ,מסורתיים/ADJ
מכירות/NOUN,פומביות/ADJ,מערביות/ADJ
מכירה/NOUN,פומבית/ADJ,חדשה/ADJ
אמנות/NOUN,בודהיסטית/ADJ,עתיקה/ADJ
יצירות/NOUN,אימפרסיוניסטיות/ADJ,שוליות/ADJ
קצינים/NOUN,בכירים/ADJ,רבים/ADJ
ניסיון/NOUN,פיקודי/ADJ,רב/ADJ
מערכות/NOUN,ממשלתיות/ADJ,אחרות/ADJ
מסורת/NOUN,אוטונומית/ADJ,ארוכה/ADJ
נושאים/NOUN,משטרתיים/ADJ,מבצעיים/ADJ
מדינה/NOUN,מערבית/ADJ,אחרת/ADJ
תוצאה/NOUN,חיובית/ADJ,נוספת/ADJ
לימודים/NOUN,אקדמיים/ADJ,חלקיים/ADJ
ממשלה/NOUN,לאומנית/ADJ,טהורה/ADJ
מתח/NOUN,ביטחוני/ADJ,גבוה/ADJ
שיח/NOUN,אסטראטגי/ADJ,אמיתי/ADJ
חיילים/NOUN,אמריקאים/ADJ,רבים/ADJ
פעולה/NOUN,צבאית/ADJ,ישראלית/ADJ
כיסוי/NOUN,מודיעיני/ADJ,אמריקאי/ADJ
תגובה/NOUN,צבאית/ADJ,ישראלית/ADJ
מקור/NOUN,ביטחוני/ADJ,בכיר/ADJ
פרסום/NOUN,מדעי/ADJ,רגיל/ADJ
כושר/NOUN,אינטלקטואלי/ADJ,עילאי/ADJ
החלטות/NOUN,כלכליות/ADJ,קשות/ADJ
סימן/NOUN,הודי/ADJ,עתיק/ADJ
מרד/NOUN,בדלני/ADJ,נוסף/ADJ
משבר/NOUN,כלכלי/ADJ,עמוק/ADJ
סביבה/NOUN,חברתית/ADJ,תומכת/ADJ
כוחות/NOUN,אמריקאיים/ADJ,נוספים/ADJ
מתקפה/NOUN,אמריקאית/ADJ,אפשרית/ADJ
פקיד/NOUN,אמריקאי/ADJ,בכיר/ADJ
מדינה/NOUN,מוסלמית/ADJ,אחרת/ADJ
התקפה/NOUN,אמריקאית/ADJ,אפשרית/ADJ
כרטיסים/NOUN,מגנטיים/ADJ,נוספים/ADJ
חברות/NOUN,אמריקאיות/ADJ,חדשות/ADJ
שטח/NOUN,בנוי/ADJ,כולל/ADJ
חצר/NOUN,פנימית/ADJ,גדולה/ADJ
משחק/NOUN,קבוצתי/ADJ,לקוי/ADJ
חוגים/NOUN,ערביים/ADJ,קיצוניים/ADJ
הודעות/NOUN,רשמיות/ADJ,ישראליות/ADJ
תשובה/NOUN,נשית/ADJ,קלסית/ADJ
סופרים/NOUN,סקנדינווים/ADJ,עלומים/ADJ
אוניברסיטה/NOUN,אנגלית/ADJ,מסוימת/ADJ
ספרות/NOUN,אקזוטית/ADJ,מסוימת/ADJ
תיירות/NOUN,אמריקאיות/ADJ,עשירות/ADJ
יסודות/NOUN,ביוגרפיים/ADJ,עזים/ADJ
השפעות/NOUN,ספרותיות/ADJ,מגוונות/ADJ
תפקידים/NOUN,רבים/ADJ,אחרים/ADJ
חושים/NOUN,עיתונאיים/ADJ,מחודדים/ADJ
טריטוריה/NOUN,גבולית/ADJ,סמוכה/ADJ
נוף/NOUN,פסטורלי/ADJ,ירוק/ADJ
