treiseag/NOUN,bheag/ADJ,eile/ADJ
aodach/NOUN,glan/ADJ,soilleir/ADJ
iomadach/ADJ,acadamh/NOUN,eile/ADJ
dhòrnaig/NOUN,bhig/ADJ,eile/ADJ
a/ADJ,chuile/ADJ,duine/NOUN
nighean/NOUN,mhòr/ADJ,ruadh/ADJ
cnoc/NOUN,lom/ADJ,réidh/ADJ
a/ADJ,chuile/ADJ,rìoghachd/NOUN
t-seann/ADJ,riaghaltas/NOUN,Tòraidheach/ADJ
A/ADJ,h-uile/ADJ,oidhche/NOUN
trèilear/NOUN,mòr/ADJ,uamhasach/ADJ
duine/NOUN,mór/ADJ,socair/ADJ
droch/ADJ,sgailc/NOUN,eagalach/ADJ
duan/NOUN,beag/ADJ,eile/ADJ
fíor/ADJ,dhroch/ADJ,bharail/NOUN
fitheach/NOUN,dubh/ADJ,eile/ADJ
daoine/NOUN,mòra/ADJ,brùideil/ADJ
fear/NOUN,beag/ADJ,reamhar/ADJ
Oidhche/NOUN,bheag/ADJ,shuarach/ADJ
sgeulachd/NOUN,annasach/ADJ,eile/ADJ
binneanan/NOUN,caola/ADJ,do-labhairt/ADJ
uabhar/NOUN,baoth/ADJ,òg/ADJ
seacaid/NOUN,shoilleir/ADJ,ghlas/ADJ
Duine/NOUN,mór/ADJ,àrd/ADJ
iomadach/ADJ,cultar/NOUN,Eòrpach/ADJ
uaislean/NOUN,móra/ADJ,Gàidhealach/ADJ
seann/ADJ,saoghal/NOUN,Gàidhealach/ADJ
Ceatharnach/NOUN,Caol/ADJ,Riabhach/ADJ
comhdheilbh/NOUN,sòichealach/ADJ,àraidh/ADJ
Crìosdaidhean/NOUN,iomraiteach/ADJ,eile/ADJ
t-seann/ADJ,stoc/NOUN,Bhreatannach/ADJ
creag/NOUN,mhór/ADJ,àrd/ADJ
t-seirbhis/NOUN,ùr/ADJ,meidigeach/ADJ
iomadh/ADJ,sgrios/NOUN,eile/ADJ
fìor/ADJ,dheagh/ADJ,dhuine/NOUN
dòigh-beatha/NOUN,sìmplidh/ADJ,tlachdmhor/ADJ
seann/ADJ,làir/NOUN,ghlic/ADJ
