önemli/ADJ,toplumsal/ADJ,sorunumuz/NOUN
dolgun/ADJ,beyaz/ADJ,göğüsleri/NOUN
diğer/ADJ,kutsal/ADJ,kitaplarda/NOUN
İnce/ADJ,uzun/ADJ,parmak/NOUN
Kötü/ADJ,üvey/ADJ,baba/NOUN
ilk/ADJ,ara/ADJ,seçimler/NOUN
redingotumsu/ADJ,siyah/ADJ,nesneyi/NOUN
soğuk/ADJ,beyaz/ADJ,şarap/NOUN
bütün/ADJ,büyük/ADJ,soruların/NOUN
mevcut/ADJ,hukuki/ADJ,yapı/NOUN
bütün/ADJ,ünlü/ADJ,restoran/NOUN
bulanık/ADJ,anlamsız/ADJ,gözlerini/NOUN
aynı/ADJ,büyük/ADJ,amcam/NOUN
sübjektif/ADJ,idealist/ADJ,dizgede/NOUN
Yeni/ADJ,gelecek/ADJ,öğretmeni/NOUN
büyük/ADJ,teorik/ADJ,atılım/NOUN
Resmi/ADJ,bütün/ADJ,yollar/NOUN
Yeşil/ADJ,kadife/ADJ,elbisem/NOUN
sol/ADJ,ana/ADJ,iniş/NOUN
delikanlıya/ADJ,yakın/ADJ,ilgi/NOUN
küçük/ADJ,sarışın/ADJ,çocuk/NOUN
yeni/ADJ,askeri/ADJ,araçların/NOUN
minik/ADJ,bağımlı/ADJ,çocuklar/NOUN
ulu/ADJ,yeşil/ADJ,ağaçlarının/NOUN
zalim/ADJ,üvey/ADJ,babayı/NOUN
Büyük/ADJ,demir/ADJ,kapının/NOUN
yeni/ADJ,mali/ADJ,yük/NOUN
yüzlerce/ADJ,nitelikli/ADJ,işin/NOUN
özel/ADJ,komik/ADJ,resim/NOUN
Klasik/ADJ,antik/ADJ,dönemin/NOUN
belirgin/ADJ,topografik/ADJ,özellikleri/NOUN
Çeşitli/ADJ,özel/ADJ,şahıslar/NOUN
ilk/ADJ,bilimsel/ADJ,rapor/NOUN
farklı/ADJ,etnik/ADJ,gruplardan/NOUN
derin/ADJ,ekonomik/ADJ,büyüme/NOUN
ilk/ADJ,epik/ADJ,şarjlarını/NOUN
özel/ADJ,hassas/ADJ,ekranlar/NOUN
yeni/ADJ,yerli/ADJ,mahalleler/NOUN
gevşek/ADJ,ahlaki/ADJ,tutum/NOUN
güçlü/ADJ,dini/ADJ,inançlara/NOUN
Ulusal/ADJ,Doğal/ADJ,Mirası/NOUN
çeşitli/ADJ,sinematik/ADJ,puanlar/NOUN
